"ID Ocorrencia","Data","Hora","Logradouro","Bairro","Natureza","Coordenadas","F1P","F2P","F3P","F4P","F5P","F6P","F7P","F8P","C1P","C2P","C3P","C4P","C5P","C6P","C7P","C8P","C9P","C10P"
"180069","2018-11-11","22:30","rua jeriba proximo a avenida min. joao ar","vila manoel da costa lima","queda",,,,,,,,,,,"10",,,,,,,,
"180070","2018-02-26","06:55","rua dona thomazia rondon    ","b. belo horizonte","colisão transversal",,"8",,"6",,,,,,,,,,,,,,"10",
"180071","2018-12-21","09:40","avenida mato grosso    ","centro","colisão transversal",,,,"8",,,,,,,,,,,,,,,
"180072","2018-10-07","16:14","rua minas novas  bar  copas e residencia ","vila cidade morena","atropelamento",,,,,,,,,,,,,,,,,,,
"180073","2018-07-30","22:59","avenida hiroshima 0 , proximo a avenida aracr","caranda bosque","choque",,"8","6",,,,,,,,,,,,,,,,
"180074","2018-08-10","18:33","avenida consul assaf trad ","jardim campo alto","atropelamento",,"10",,,,,,,,,,,,,,,,,
"180075","2018-12-17","00:00",,"chacara dos poderes",,,,"8",,,,,,,,"10",,,,,,,,
"180076","2018-04-23","21:13","avenida mato grosso    ","centro","colisão lateral",,,,,,,,,,,"8",,,,,,,,
"180077","2018-11-02","03:20","avenida coronel antonino 0","coronel antonino","choque",,"10",,"8",,,,,,,,,,,,,,,
"180078","2018-02-23","17:09","avenida avenida consul assaf trad 0","nova lima","colisão transversal",,,,,,,,,,,,,,,"8",,,,
"180079","2018-03-16","12:50","rua calafate    ","morada verde","colisão transversal",,"8",,,,,,,,,"6",,,,,,,"10",
"180080","2018-02-04","12:15","rua do sossego    ","jardim presidente","colisão transversal",,,,,,,,,,,,,,"10",,,,,
"180081","2018-09-08","00:50","rua sebastiao lima ","jardim monte libano","colisão transversal",,,"10",,,,,,,,"8",,,,,,,,
"180082","2018-02-07","11:33","rua bahia    ","centro","colisão transversal",,,,,,,,,,,,,,,,,,,
"180083","2018-02-28","16:24","avenida guaicurus ","jardim colibri","colisão transversal",,,,,,,"8",,,,,,,,,,,,
"180084","2018-11-18","15:18","rua  de julho ","jardim sao paulo","colisão transversal",,,,,,,,,,,"8",,,,,"10",,,
"180085","2018-04-22","05:57","avenida nelly martins    ","caranda bosque","queda",,,"6",,,,,,,,"8",,,,,,,,
"180086","2018-10-13","19:35","avenida mascarenhas de moraes terminal gal. osorio","bairro coronel antonino","atropelamento",,,"8",,,,,,,,,"10",,,,,,,
"180087","2018-08-10","23:26","avenida gunter hans. ","jardim tijuca","atropelamento",,,,,,,,,,,,,,,,,,,
"190001","2019-01-02","17:45","rua julio de castilho","vila alba",,"-20.4465833334162, -54.659594258273756",,,,,,,,,,,,,,,,,,
"190002","2019-01-20","20:30","avenida consul assaf trad",,,,"10",,,,,,,,,"8",,,,,,,,
"190003","2019-02-04","01:50","rua palmeirais","estrela dalva","grave",,,"10",,,,,,,,,,,,,,,,
"190004","2019-02-08","11:35","avenida dos poetas","parque dos poderes","colisao transversal","-20.45781219064377, -54.56349033314951","8",,,,,,,,,"6",,,,,,,,
"190005","2019-02-10","20:00","avenida duque de caxias","vila nova campo grande","colisao traseira",,"10",,,,,,,,,"8",,,,,,,,
"190006","2019-02-13","23:57","rua filomena segundo nascimento","jardim colibri",,,"8",,,,,,,,,,,,"6",,,,,
"190007","2019-02-16","12:25","rua presidente antônio carlos",,,,,,,,,,,,,,,,,,,,,
"190008","2019-02-17","18:20","avenida lino villacha","nova lima",,"-20.38733138634934, -54.55874580060149",,"8",,,,,,,,,,,,,,,,
"190009","2019-02-19","15:40","avenida duque de caxias","centro",,,"10",,,,,,,,,,,,,,,,,
"190010","2019-02-20","03:57","rua  de dezembro","centro","capotamento","-20.455317181654486, -54.605699687110246","10",,,,,,,,,,,,,,,,,
"190011","2019-02-25","17:50","avenida das bandeiras ",,,"-20.485110738194784, -54.62470578896604",,,,,,,,,,"10",,,,,,,,
"190012","2019-03-11","11:00","avenida afonso pena",,,,,,,,,,,,,,,,,,,,,
"190013","2019-03-18","19:00","avenida nasri siufi",,,,"10",,,,,,,,,,,,,,,,,
"190014","2019-03-20","00:00","rua thyrson de almeida",,,,"8",,"4",,,,,,,"6",,,,,,,,
"190015","2019-03-21","09:30","rua leão zardo",,,"-20.49358833682597, -54.67980912943643","10",,,,,,,,,"8",,,,,,,,
"190016","2019-03-24","05:29","avenida júlio de castilho",,,,"8",,,,,,,,,"6",,,,,,,,
"190017","2019-03-26","08:30","avenida ernesto geisel",,,"-20.45672833854829, -54.622126185253826",,,,,,,,,,,,,,,,,,
"190018","2019-03-28","06:00","avenida gury marques",,,,"10",,,,,,,,,,,,,,,,,
"190019","2019-03-29","17:30","rua catigua",,,,,,,,,,,,,,,,,,,,,
"190020","2019-03-30","19:30","avenida lúdio martins coelho","bairro taveiropolis",,"-20.463805579217563, -54.6460283852537",,,,,,,,,,,"10",,,,,,,
"190021","2019-03-31","02:28","rua praia grande","jardim são conrado",,,,"10",,,,,,,,"8",,,,,,,,
"190022","2019-03-31","22:10","rua praia grande","vila concordia",,"-20.494830935516305, -54.671988758272846",,,,,,,,,,,,,,,,,,
"190023","2019-04-04","22:58","rua cachoeira do campo","portal caiobá",,,,,,,,,,,,,,,,,,,,
"190024","2019-04-09","10:30","avenida guaicurus",,,,,,,,,,,,,,,,,,,,,
"190025","2019-04-14","18:40","rua tenente lira",,,,,"10",,,,,,,,,,,,,,,,
"190026","2019-04-16","07:00","rua catigua","jardim canguru",,,,,,,,,,,,"8",,,,,,,,
"190027","2019-04-19","18:30","rua indianapolis","jardim noroeste",,"-20.46197353441479, -54.53581541594669",,,,,,,,,,,,,,,,,,
"190028","2019-04-27",,"rua aracruz","parque novos estados",,,,,,,,,,,,,,,,,,,,
"190029","2019-04-29","11:45","avenida fabio zahran",,,"-20.47787423885948, -54.62378612943643","10",,,,,,,,,"8",,,,,,,,
"190030","2019-05-12","10:35","avenida tamandaré",,,,"10",,,,,,,,,,,,,,,,,
"190031","2019-05-15","19:24","avenida fabio zahran",,,,"8",,,,,,,,,,,,,,,,,
"190032","2019-05-20","19:15","rua da divisão",,,,"8",,,,,,,,,,,,"10",,,,,
"190033","2019-05-30","18:13","rua da divisão",,,,"10",,,,,,,,,,,,,,,,,
"190034","2019-06-07","14:00","rua doutor pacífico lopes siqueira ",,,,"10",,,,,,,,,"8",,,,,,,,
"190035","2019-06-09","00:00","avenida frida puxian ",,,"-20.51500178944418, -54.589247458272574","10",,,,,,,,,"8",,,,,,,,
"190036","2019-06-12","18:17","rua benjamin adese","jardim leblon",,,,,,,,,,,,,,,,,,,,
"190037","2019-06-14","07:00","rua catigua",,,,,,,,,,,,,,,,,,,,,
"190038","2019-06-20","11:00","rua jerônimo de albuquerque ",,,,,,,,,,,,,,,,,,,,,
