CD_MUN,NM_MUN,pc_iluminacao,classe_ilu,tx_atropelamento,classe_obt,classe_bivariada
3536257,Parisi,83.78,Baixa,0.0,Baixa,Baixa_Baixa
3556404,Vargem Grande do Sul,96.63,Média,19.4052297094067,Média,Média_Média
3504602,Bady Bassitt,96.89,Média,34.5913037462382,Alta,Média_Alta
3504800,Bálsamo,96.63,Média,0.0,Baixa,Média_Baixa
3548609,São Bento do Sapucaí,93.11,Baixa,8.36960160696351,Média,Baixa_Média
3501400,Álvaro de Carvalho,96.12,Média,20.4248366013072,Média,Média_Média
3554953,Tuiuti,89.62,Baixa,14.3947027493882,Média,Baixa_Média
3518503,Guareí,89.71,Baixa,6.54964631909877,Baixa,Baixa_Baixa
3530409,Mirassolândia,93.14,Baixa,20.9599664640537,Média,Baixa_Média
3524600,Jacupiranga,92.33,Baixa,49.2186538698167,Alta,Baixa_Alta
3515202,Estrela d'Oeste,98.28,Alta,0.0,Baixa,Alta_Baixa
3532827,Nova Campina,89.87,Baixa,0.0,Baixa,Baixa_Baixa
3535408,Panorama,96.15,Média,6.57289338766925,Baixa,Média_Baixa
3528700,Marabá Paulista,94.38,Média,0.0,Baixa,Média_Baixa
3546256,Santa Cruz da Esperança,95.56,Média,46.2534690101758,Alta,Média_Alta
3539103,Pirapora do Bom Jesus,86.62,Baixa,10.6179655977915,Média,Baixa_Média
3500758,Alambari,97.54,Alta,15.7977883096367,Média,Alta_Média
3547007,Santa Maria da Serra,94.65,Média,18.8182160331201,Média,Média_Média
3529609,Meridiano,86.93,Baixa,42.5803704492229,Alta,Baixa_Alta
3538105,Pindorama,96.77,Média,20.3790503362543,Média,Média_Média
3509304,Cajobi,97.22,Alta,10.8318890814558,Média,Alta_Média
3550506,São Pedro do Turvo,99.06,Alta,0.0,Baixa,Alta_Baixa
3549508,São José da Bela Vista,96.33,Média,13.0039011703511,Média,Média_Média
3544509,Rubinéia,93.98,Média,25.2206809583859,Alta,Média_Alta
3544905,Sales Oliveira,95.36,Média,34.3229792345976,Alta,Média_Alta
3500204,Adolfo,98.44,Alta,0.0,Baixa,Alta_Baixa
3511607,Cesário Lange,90.48,Baixa,25.5258321421278,Alta,Baixa_Alta
3517604,Guapiara,92.81,Baixa,5.79508576726936,Baixa,Baixa_Baixa
3518859,Guatapará,92.0,Baixa,13.401232913428,Média,Baixa_Média
